NO;OSM Feature Class;OSM MCE FieldName;OSM  Attribute Value;OSM Attribute definition;Mapping Description;DGIF Feature Alpha;DGIF Feature 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;
40;aeroway_Polygon;aeroway;terminal;Airport terminal is a building at an airport where passengers transfer between ground transportation and the facilities that allow them to board and disembark from aircraft;OK;TransportationStation;AQ125;meansTransportation;TME;aircraft;12;;;;;
41;aeroway_Polygon;aeroway;taxilane;Taxilane is a path in an airport that is part of the aircraft parking area or apron (proposed feature with low usage as of 2015-10, use with caution).;OK;Taxiway;GB075;taxiwayType;TXP;apronTaxiway;8;;;;;
42;aeroway_Polygon;aeroway;taxiway;Taxiway is a path on an airport connecting runways with ramps, hangars, terminals and other facilities;OK;Taxiway;GB075;;;;;;;;;
43;aeroway_Polygon;aeroway;runway;Runway is a rectangular area in which aerodrome are prepared for the landing and takeoff of aircraft.;OK;Runway;GB055;;;;;;;;;
44;aeroway_Polygon;aeroway;helipad;Helipad is used to mark the landing area or platform for Helicopters ;OK;Helipad;GB030;;;;;;;;;
45;aeroway_Polygon;aeroway;heliport;Heliport is used to map the main area details for helicopters;OK;Heliport;GB035;;;;;;;;;
46;aeroway_Polygon;aeroway;hangar;Hangar is a structure to hold aircraft or spacecraft;OK;AircraftHangar;GB230;;;;;;;;;
47;aeroway_Polygon;aeroway;aerodrome;Aerodrome in the United Kingdom or Airport in North America is used to map the main area details (other than  helicopters only).;OK;Aerodrome;GB001;;;;;;;;;
48;aeroway_Polygon;aeroway;apron;Airport apron is an area where planes are parked, unloaded or loaded, refueled, or boarded.;OK;Apron;GB015;;;;;;;;;
49;aeroway_Polygon;aeroway;user-defined or "yes";;not in DGIF;;;;;;;;;;;
50;amenity_Point;amenity;bar;Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food;OK;Building;AL013;featureFunction;FFN;bar;573;;;;;
51;amenity_Point;amenity;bbq;BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public;not in DGIF;;;;;;;;;;;
52;amenity_Point;amenity;biergarten;Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
53;amenity_Point;amenity;café;Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk café;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
54;amenity_Point;amenity;drinking_water;Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler;not in DGIF;;;;;;;;;;;
55;amenity_Point;amenity;fast_food ;Fast food restaurant;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
56;amenity_Point;amenity;food_court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;OK;Building;AL013;featureFunction;FFN;diningHall;574;;;;;
57;amenity_Point;amenity;ice_cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter ;Generalization;Building;AL013;featureFunction;FFN;foodService;570;;;;;
58;amenity_Point;amenity;pub;A place selling beer and other alcoholic drinks; may also provide food or accommodation ;OK;Building;AL013;featureFunction;FFN;bar;573;;;;;
59;amenity_Point;amenity;restaurant;Restaurant;OK;Building;AL013;featureFunction;FFN;restaurant;572;;;;;
60;amenity_Point;amenity;college ;A college campus or buildings ;OK;Building;AL013;featureFunction;FFN;higherEducation;855;;;;;
61;amenity_Point;amenity;kindergarten ; For children too young for a regular school (also known as playschool or nursery school). ;OK;Building;AL013;featureFunction;FFN;dayCare;885;;;;;
62;amenity_Point;amenity;library;A public library (municipal, university, ) to borrow books from;OK;Building;AL013;featureFunction;FFN;library;902;;;;;
63;amenity_Point;amenity;public_bookcase ;A street furniture containing books. Take one or leave one;not in DGIF;;;;;;;;;;;
64;amenity_Point;amenity;school;School and grounds;OK;Building;AL013;featureFunction;FFN;education;850;;;;;
65;amenity_Point;amenity;music_school  ;Music school ;Generalization;Building;AL013;featureFunction;FFN;education;850;;;;;
66;amenity_Point;amenity;driving_school ;Driving School  ;Generalization;Building;AL013;featureFunction;FFN;vocationalEducation;857;;;;;
67;amenity_Point;amenity;language_school  ;Language School ;Generalization;Building;AL013;featureFunction;FFN;education;850;;;;;
68;amenity_Point;amenity;university;An university campus ;OK;Building;AL013;featureFunction;FFN;higherEducation;855;;;;;
69;amenity_Point;amenity;bicycle_parking ;Parking for bicycles ;OK;VehicleLot;AQ140;meansTransportation;TME;bicycle;4;;;;;
70;amenity_Point;amenity;bicycle_repair_station ;Self-service repair stand ;not in DGIF;;;;;;;;;;;
71;amenity_Point;amenity;bicycle_rental ;Rent a bicycle;Generalization;Facility;AL010;featureFunction;FFN;rentalOfGoods;480;;;;;
72;amenity_Point;amenity;boat_sharing ;Share a Boat ;not in DGIF;;;;;;;;;;;
73;amenity_Point;amenity;bus_station ;Has been replaced by public_transport=station;OK;TransportationStation;AQ125;meansTransportation;TME;bus;2;;;;;
74;amenity_Point;amenity;car_rental ;Rent a car ;OK;Building;AL013;featureFunction;FFN;motorVehicleRental;761;;;;;
75;amenity_Point;amenity;car_sharing ;Share a car ;Generalization;Building;AL013;featureFunction;FFN;motorVehicleRental;761;;;;;
76;amenity_Point;amenity;car_wash;Wash a car ;Generalization;Building;AL013;featureFunction;FFN;motorVehicleRepair;343;;;;;
77;amenity_Point;amenity;charging_station ;Charging facility for electric vehicles;OK;MotorVehicleStation;AQ170;batteryRechargeAvail;BRA;TRUE;1001;;;;;
78;amenity_Point;amenity;ferry_terminal ;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry;OK;FerryStation;AQ080;;;;;;;;;
79;amenity_Point;amenity;fuel;Petrol station; gas station; marine fuel;OK;MotorVehicleStation;AQ170;;;;;;;;;
80;amenity_Point;amenity;grit_bin;A container that holds grit or a mixture of salt and grit;not in DGIF;;;;;;;;;;;
81;amenity_Point;amenity;motorcycle_parking ;Parking for motorcycles ;OK;VehicleLot;AQ140;meansTransportation;TME;motorcycle;9;;;;;
