NO;OSM Feature Class;OSM MCE FieldName;OSM  Attribute Value;OSM Attribute definition;Mapping Description;DGIF Feature Alpha;DGIF Feature 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;
286;barrier_Line;barrier;handrail; is designed to be grasped by the hand so as to provide stability or support ;Generalization;VehicleBarrier;AP041;;;;;;;;;
287;barrier_Line;barrier;guard_rail;A guard_rail, also called a crash barrier. Right side is inner, left side is outer;Generalization;VehicleBarrier;AP041;;;;;;;;;
288;barrier_Line;barrier;fence;A structure supported by posts driven into the ground and designed to prevent movement across a boundary. It is distinguished from a wall by the lightness of its construction;OK;Fence;AL070;;;;;;;;;
289;barrier_Line;barrier;ditch;A trench, ditch or ravine, usually with a stream at the bottom, that is not easily crossed, especially if not on foot;OK;Ditch;BH030;;;;;;;;;
290;barrier_Line;barrier;city_wall;A fortification used to defend a city or settlement from potential aggressors. From ancient to modern times, they are used to enclose settlements. ;OK;Fortification;AH050;fortificationType;FON;rampart;12;;;;;
291;barrier_Line;barrier;cable_barrier;Way. Also called guard cable. This is a road side or median barrier made of steel wire ropes mounted on weak posts;Generalization;VehicleBarrier;AP041;;;;;;;;;
292;barrier_Polygon;barrier;user-defined or "yes";;OK;VehicleBarrier;AP041;;;;;;;;;
293;barrier_Polygon;barrier;city_wall;A fortification used to defend a city or settlement from potential aggressors. From ancient to modern times, they are used to enclose settlements. ;OK;Fortification;AH050;fortificationType;FON;rampart;12;;;;;
294;barrier_Polygon;barrier;ditch;A trench, ditch or ravine, usually with a stream at the bottom, that is not easily crossed, especially if not on foot;OK;Ditch;BH030;;;;;;;;;
295;barrier_Polygon;barrier;fence;A structure supported by posts driven into the ground and designed to prevent movement across a boundary. It is distinguished from a wall by the lightness of its construction;OK;Fence;AL070;;;;;;;;;
296;barrier_Polygon;barrier;hedge;is a line of closely spaced shrubs and bushes, planted and trained in such a way as to form a barrier or to mark the boundary of an area;OK;Hedgerow;EA020;;;;;;;;;
297;barrier_Polygon;barrier;retaining_wall  ;Retaining walls serve to retain the lateral pressure of soil. Right side is bottom, left side is top;OK;Wall;AL260;wallType;WTI;retaining;2;;;;;
298;barrier_Polygon;barrier;tank_trap  ;Static anti-tank obstacle defences ;OK;VehicleBarrier;AP041;meansTransportation;TME;trackedVehicle;7;;;;;
299;barrier_Polygon;barrier;wall;A freestanding solid structure designed to restrict or prevent movement across a boundary. Usually made from solid brick, concrete or stone and almost always built so that it is opaque to vision;OK;Wall;AL260;wallType;WTI;freeStanding;1;;;;;
300;barrier_Polygon;barrier;spikes;Spikes on the ground that prevent unauthorized access. Can also be removeable e.g. after payment in a garage;Generalization;VehicleBarrier;AP041;;;;;;;;;
301;boundary_Line;boundary;administrative; Historic  ;OK;AdministrativeBoundary;FA000;boundaryDetermineMethod;CFT;historic;5;;;;;
302;boundary_Line;boundary;user-defined or "yes";;OK;AdministrativeBoundary;FA000;;;;;;;;;
303;boundary_Polygon;boundary;protected_area ;Protected areas, such as for national-parks, water protection areas or indigenous areas;OK;ConservationArea;FA210;;;;;;;;;
304;boundary_Polygon;boundary;religious_administration;An religious administrative boundary;Generalization;AdministrativeDivision;FA003;;;;;;;;;
305;boundary_Polygon;boundary;postal_code ;Postal code boundaries ;OK;AdministrativeDivision;FA003;specialAdminUnit;AMB;postalDistrict;5;;;;;
306;boundary_Polygon;boundary;political;Electoral boundaries ;OK;AdministrativeDivision;FA003;specialAdminUnit;AMB;electionDistrict;22;;;;;
307;boundary_Polygon;boundary;national_park ;Area of outstanding natural beauty, set aside for conservation and for recreation ;OK;ConservationArea;FA210;;;;;;;;;
308;boundary_Polygon;boundary;maritime ; Maritime boundaries  ;Generalization;AdministrativeDivision;FA003;;;;;;;;;
309;boundary_Polygon;boundary;historic  ;Historic;not in DGIF;;;;;;;;;;;
310;boundary_Polygon;boundary;administrative;An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs;OK;AdministrativeDivision;FA003;;;;;;;;;
311;boundary_Polygon;boundary;user-defined or "yes";;OK;AdministrativeDivision;FA003;;;;;;;;;
312;building_Point;building;user-defined or "yes";;OK;Building;AL013;;;;;;;;;
313;building_Polygon;building;user-defined or "yes";;OK;Building;AL013;;;;;;;;;
314;building_Polygon;building;apartments;A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor;OK;Building;AL013;featureFunction;FFN;residence;563;multiUnitBuilding;MUB;VERO;1001;
315;building_Polygon;building;farm;A residential building on a farm (farmhouse). ;OK;Building;AL013;featureFunction;FFN;residence;563;;;;;
316;building_Polygon;building;hotel;A building designed with separate rooms available for overnight accommodation;OK;Building;AL013;featureFunction;FFN;hotel;551;;;;;
317;building_Polygon;building;house;A dwelling unit inhabited by a single household (a family or small group sharing facilities such as a kitchen). Houses forming half of a semi-detached pair, or one of a row of terraced houses, should share at least two nodes with joined neighbours;OK;Building;AL013;featureFunction;FFN;residence;563;multiUnitBuilding;MUB;FALSO;1000;
318;building_Polygon;building;detached; A single dwelling unit inhabited by family or small group sharing facilities such as a kitchen ;OK;Building;AL013;featureFunction;FFN;residence;563;multiUnitBuilding;MUB;FALSO;1000;
319;building_Polygon;building;residential;A general tag for a building used primarily for residential purposes. Where additional detail is available consider using 'apartments', 'terrace', 'house' or 'detached';OK;Building;AL013;featureFunction;FFN;residence;563;;;;;
320;building_Polygon;building;dormitory;For a shared building, as used by college/university students (not a share room for multiple occupants as implied by the term in British English). ;OK;Building;AL013;featureFunction;FFN;dormitory;556;;;;;
321;building_Polygon;building;terrace;A single way used to define the outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (row-house in North American English). ;Generalization;Building;AL013;featureFunction;FFN;residence;563;;;;;
322;building_Polygon;building;houseboat;A boat used primarily as a home ;not in DGIF;;;;;;;;;;;
323;building_Polygon;building;bungalow;A single-storey detached small house, Dacha. ;Generalization;Building;AL013;featureFunction;FFN;residence;563;;;;;
324;building_Polygon;building;static_caravan ;A mobile home (semi)permanently left on a single site;not in DGIF;;;;;;;;;;;
325;building_Polygon;building;commercial;A building where non-specific commercial activities take place;OK;Building;AL013;featureFunction;FFN;commerce;440;;;;;
326;building_Polygon;building;industrial;A building where some industrial process takes place. Use warehouse if the purpose is known to be primarily for storage/distribution;Generalization;Building;AL013;featureFunction;FFN;manufacturing;99;;;;;
327;building_Polygon;building;retail;A building primarily used for selling goods are sold to the public;OK;Building;AL013;featureFunction;FFN;retailSale;460;;;;;
328;building_Polygon;building;warehouse;A building primarily used for the storage or goods or as part of a distribution system.;OK;Building;AL013;featureFunction;FFN;warehousingStorage;530;;;;;
329;building_Polygon;building;cathedral;A building that was built as a cathedral;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;cathedral;1;
330;building_Polygon;building;chapel;A building that was built as a chapel;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;chapel;2;
331;building_Polygon;building;church;A building that was built as a church;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;church;3;
332;building_Polygon;building;mosque;A mosque;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;mosque;7;
333;building_Polygon;building;temple  ;A building that was built as a temple;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;temple;15;
334;building_Polygon;building;synagogue;A building that was built as a synagogue;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;synagogue;13;
335;building_Polygon;building;shrine;A building that was built as a shrine;OK;Building;AL013;featureFunction;FFN;placeOfWorship;931;ReligiousInfo_religiousFacilityType;ZI037_RFA;shrine;11;
336;building_Polygon;building;civic;For any civic amenity;Generalization;Building;AL013;featureFunction;FFN;publicAdministration;808;;;;;
337;building_Polygon;building;hospital;A building which forms part of a hospital;OK;Building;AL013;featureFunction;FFN;inPatientCare;861;;;;;
338;building_Polygon;building;school;For any generic school buildings;OK;Building;AL013;featureFunction;FFN;education;850;;;;;
339;building_Polygon;building;stadium;A stadium building ;OK;Building;AL013;featureFunction;FFN;sportsCentre;912;;;;;
340;building_Polygon;building;train_station;A train station building;OK;TransportationStation;AQ125;meansTransportation;TME;train;11;;;;;
341;building_Polygon;building;transportation ;A building related to public transport;OK;Building;AL013;featureFunction;FFN;transport;480;;;;;
342;building_Polygon;building;university;A university building;OK;Building;AL013;featureFunction;FFN;higherEducation;855;;;;;
343;building_Polygon;building;public;A public building;Generalization;Building;AL013;featureFunction;FFN;publicAdministration;808;;;;;
344;building_Polygon;building;barn;An agricultural building used for storage and as a covered workplace;OK;Barn;AJ085;;;;;;;;;
345;building_Polygon;building;bridge;A building used as a bridge. Can also represent a gatehouse for drawbridges;Generalization;Building;AL013;;;;;;;;;
346;building_Polygon;building;bunker;A hardened military building;OK;SurfaceBunker;AM060;;;;;;;;;
347;building_Polygon;building;cabin;A cabin is a small, roughly built house usually with a wood exterior and typically found in rural areas;OK;Hut;AL099;;;;;;;;;
348;building_Polygon;building;construction;Used for buildings under construction;OK;Building;AL013;physicalCondition;PCF;construction;1;;;;;
349;building_Polygon;building;cowshed ;A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms;OK;Building;AL013;featureFunction;FFN;raisingOfAnimals;9;;;;;
350;building_Polygon;building;digester;A digester is a bioreactor for the production of inflatable biogas from biomass;Generalization;Building;AL013;ManufacturingInfo_product;ZI014_PPO;gas;45;;;;;
351;building_Polygon;building;farm_auxiliary ;A building on a farm that is not a dwelling ;Generalization;Building;AL013;featureFunction;FFN;agriculture;2;;;;;
352;building_Polygon;building;garage;A garage is a building suitable for the storage of one or possibly more motor vehicle or similar;OK;Building;AL013;featureFunction;FFN;motorVehicleParking;535;;;;;
353;building_Polygon;building;greenhouse  ;A greenhouse is a glass or plastic covered building used to grow plants;OK;Greenhouse;AJ110;;;;;;;;;
354;building_Polygon;building;hangar;A hangar is a building used for the storage of airplanes, helicopters or space-craft;OK;AircraftHangar;GB230;;;;;;;;;
355;building_Polygon;building;hut;A hut is a small and crude shelter. ;OK;Hut;AL099;;;;;;;;;
356;building_Polygon;building;roof;A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations;OK;Shed;AL019;;;;;;;;;
357;building_Polygon;building;shed;A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop;OK;Shed;AL019;;;;;;;;;
358;building_Polygon;building;stable;A stable is a building where horses are kept;OK;Stable;AJ080;;;;;;;;;
359;building_Polygon;building;sty;A sty (pigsty, pig ark, pig-shed) is a building for raising domestic pigs, usually found on farms;OK;Building;AL013;featureFunction;FFN;raisingOfAnimals;9;;;;;
360;building_Polygon;building;transformer_tower;A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line;Generalization;PowerSubstation;AD030;substationType;SBT;transformerSubstation;2;;;;;
361;building_Polygon;building;service;Service building usually is a small unmanned building with certain machinery (like pumps or transformers).;Generalization;Building;AL013;featureFunction;FFN;utilities;350;;;;;
362;building_Polygon;building;kiosk;Small retail building ;OK;Building;AL013;featureFunction;FFN;retailSale;460;;;;;
363;building_Polygon;building;ruins;A house, a village or other building abandoned;OK;Ruins;AL200;;;;;;;;;
364;craft_Point;craft;user-defined or "yes";;OK;Building;AL013;;;;;;;;;
365;craft_Point;craft;agricultural_engines ;Planning and constructing engines and tools for agricultural use;OK;Building;AL013;featureFunction;FFN;machineryManufac;280;;;;;
366;craft_Point;craft;basket_maker ;Producing baskets, often made from Willow;Generalization;Building;AL013;;;;;;;;;
367;craft_Point;craft;beekeeper ;A place where honey bees are kept for the purposes of securing commodities such as honey, beeswax or pollen;Generalization;Building;AL013;;;;;;;;;
368;craft_Point;craft;blacksmith ;A place where a blacksmith forges tools, horseshoes, etc. from iron;Generalization;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
369;craft_Point;craft;boatbuilder  ;Planning and constructing boats;Generalization;Building;AL013;;;;;;;;;
370;craft_Point;craft;bookbinder ;Physically assembling a book from a number of sheets of paper;Generalization;Building;AL013;;;;;;;;;
371;craft_Point;craft;brewery  ;A brewery is a dedicated building for the making of beer;OK;Building;AL013;featureFunction;FFN;brewing;123;;;;;
372;craft_Point;craft;builder;Constructs buildings, streets and other objects;Generalization;Building;AL013;;;;;;;;;
373;craft_Point;craft;carpenter;Workplace or office of Carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects;OK;Building;AL013;featureFunction;FFN;woodBasedManufac;160;;;;;
374;craft_Point;craft;carpet_layer  ;Workplace or office of carpet layers that bring carpet on your floor;Generalization;Building;AL013;;;;;;;;;
375;craft_Point;craft;caterer;Workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;Generalization;Building;AL013;;;;;;;;;
376;craft_Point;craft;chimney_sweeper  ;Area  Workplace or office of a person who cleans chimneys for a living ;Generalization;Building;AL013;;;;;;;;;
377;craft_Point;craft;clockmaker ;Workplace or office of a clockmaker that is building or repairing clocks but not watches;Generalization;Building;AL013;;;;;;;;;
378;craft_Point;craft;confectionery ;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced;OK;Building;AL013;featureFunction;FFN;confectionManufac;114;;;;;
379;craft_Point;craft;distillery;Distillery;OK;Building;AL013;featureFunction;FFN;spiritDistillery;121;;;;;
380;craft_Point;craft;dressmaker ;A place where clothes are created, repaired or altered to fit personal needs;OK;Building;AL013;featureFunction;FFN;textileAppLeatherManufac;129;;;;;
381;craft_Point;craft;electrician ;Workplace or office of an electrician which is a tradesman specialized in electrical wiring of buildings, stationary machines and related equipment;Generalization;Building;AL013;;;;;;;;;
382;craft_Point;craft;floorer;Workplace or office of a floorer which is a tradesman specialized in laying floors;Generalization;Building;AL013;;;;;;;;;
383;craft_Point;craft;gardener;Workplace or office of a garden designer or a landscape gardener;Generalization;Building;AL013;;;;;;;;;
384;craft_Point;craft;glaziery  ;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed ;OK;Building;AL013;featureFunction;FFN;glassProdManufac;231;;;;;
385;craft_Point;craft;handicraft  ;A place where useful and decorative devices are made completely by hand or using only simple tools;Generalization;Building;AL013;;;;;;;;;
386;craft_Point;craft;hvac;Workplace or office of an HVAC system designer (Heating, Ventilating, and Air Conditioning) ;Generalization;Building;AL013;;;;;;;;;
387;craft_Point;craft;insulation ;Workplace or office of a person who does thermal insulation in buildings;Generalization;Building;AL013;;;;;;;;;
388;craft_Point;craft;jeweller  ;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired;OK;Building;AL013;featureFunction;FFN;jewelleryManufac;321;;;;;
389;craft_Point;craft;key_cutter ;A place where keys can be duplicated from originals;Generalization;Building;AL013;;;;;;;;;
390;craft_Point;craft;locksmith ;A place where locks and keys are created or repaired;Generalization;Building;AL013;;;;;;;;;
391;craft_Point;craft;metal_construction  ;A place where handrails, gates, ramps and similar things from metal are made;OK;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
392;craft_Point;craft;optician;A place where lenses for the correction of a person's vision are designed, fitted and dispensed;Generalization;Building;AL013;;;;;;;;;
393;craft_Point;craft;painter;Workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings;Generalization;Building;AL013;;;;;;;;;
394;craft_Point;craft;parquet_layer ;Workplace or office of a parquet layer;Generalization;Building;AL013;;;;;;;;;
395;craft_Point;craft;photographer ;Workplace or office of a person who takes photographs using a camera;OK;Building;AL013;featureFunction;FFN;photography;752;;;;;
396;craft_Point;craft;photographic_laboratory;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil;OK;Building;AL013;featureFunction;FFN;photography;752;;;;;
397;craft_Point;craft;piano_tuner  ;A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos;Generalization;Building;AL013;;;;;;;;;
398;craft_Point;craft;plasterer ;Workplace or office of a tradesman who works with plaster, such as forming a layer of plaster on an interior wall or plaster decorative moldings on ceilings or walls;Generalization;Building;AL013;;;;;;;;;
399;craft_Point;craft;plumber;Workplace or office of a tradesman who specializes in installing and maintaining systems used for potable (drinking) water, sewage, and drainage.;Generalization;Building;AL013;;;;;;;;;
400;craft_Point;craft;pottery;A place where earthenware, stoneware and porcelain and other ceramic ware is made by potters;OK;Building;AL013;featureFunction;FFN;ceramicProdManufac;234;;;;;
401;craft_Point;craft;rigger;Workplace or office of a person who makes masts, yards, sails, and cordage for sailboats and sailing ships;Generalization;Building;AL013;;;;;;;;;
402;craft_Point;craft;roofer;Workplace or office of a tradesman who is specialized in roof construction;Generalization;Building;AL013;;;;;;;;;
403;craft_Point;craft;saddler;A place where saddles or accessories for cars and boats are produced or repaired;Generalization;Building;AL013;;;;;;;;;
404;craft_Point;craft;sailmaker ;Workplace or office of a person who makes and repairs sails for sailboats and sailing ships, typically working on shore in a sail loft. ;Generalization;Building;AL013;;;;;;;;;
405;craft_Point;craft;sawmill  ;A workplace where logs are cut into boards;OK;Building;AL013;featureFunction;FFN;sawmilling;161;;;;;
406;craft_Point;craft;scaffolder ;Workplace or office of a tradesman who builds temporary structure used to support people and material in the construction or repair of buildings and other large structures;Generalization;Building;AL013;;;;;;;;;
407;craft_Point;craft;sculptor  ;A place where Sculpture are made ;Generalization;Building;AL013;;;;;;;;;
408;craft_Point;craft;shoemaker ;A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs;OK;Building;AL013;featureFunction;FFN;footwearManufac;155;;;;;
409;craft_Point;craft;stand_builder  ;Workplace of a company that builds stands/booths for fairs;Generalization;Building;AL013;;;;;;;;;
410;craft_Point;craft;stonemason;A place where rough pieces of rock are shaped into accurate geometrical shapes;OK;Building;AL013;featureFunction;FFN;stoneProdManufac;237;;;;;
411;craft_Point;craft;sun_protection ;A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters;Generalization;Building;AL013;;;;;;;;;
412;craft_Point;craft;tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;OK;Building;AL013;featureFunction;FFN;textileAppLeatherManufac;129;;;;;
413;craft_Point;craft;tiler;Workplace or office of a person who lays tiles on floors, swimming pools and such;Generalization;Building;AL013;;;;;;;;;
414;craft_Point;craft;tinsmith  ;A tinsmith, or tinner or tinker or tinplate worker. Workplace or office of a person who makes and repairs things made of light-coloured metal, particularly tinware;Generalization;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
415;craft_Point;craft;turner;A turner or wood turner. ;Generalization;Building;AL013;;;;;;;;;
416;craft_Point;craft;upholsterer  ;A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers;Generalization;Building;AL013;;;;;;;;;
417;craft_Point;craft;watchmaker ;A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches;Generalization;Building;AL013;;;;;;;;;
418;craft_Point;craft;window_construction ;Construct windows;Generalization;Building;AL013;;;;;;;;;
419;craft_Point;craft;winery;Produces wine ;OK;Building;AL013;featureFunction;FFN;winery;122;;;;;
420;craft_Polygon;craft;user-defined or "yes";;OK;Building;AL013;;;;;;;;;
421;craft_Polygon;craft;agricultural_engines ;Planning and constructing engines and tools for agricultural use;OK;Building;AL013;featureFunction;FFN;machineryManufac;280;;;;;
422;craft_Polygon;craft;basket_maker ;Producing baskets, often made from Willow;Generalization;Building;AL013;;;;;;;;;
423;craft_Polygon;craft;beekeeper ;A place where honey bees are kept for the purposes of securing commodities such as honey, beeswax or pollen;Generalization;Building;AL013;;;;;;;;;
424;craft_Polygon;craft;blacksmith ;A place where a blacksmith forges tools, horseshoes, etc. from iron;Generalization;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
425;craft_Polygon;craft;boatbuilder  ;Planning and constructing boats;Generalization;Building;AL013;;;;;;;;;
426;craft_Polygon;craft;bookbinder ;Physically assembling a book from a number of sheets of paper;Generalization;Building;AL013;;;;;;;;;
427;craft_Polygon;craft;brewery  ;A brewery is a dedicated building for the making of beer;OK;Building;AL013;featureFunction;FFN;brewing;123;;;;;
428;craft_Polygon;craft;builder;Constructs buildings, streets and other objects;Generalization;Building;AL013;;;;;;;;;
429;craft_Polygon;craft;carpenter;Workplace or office of Carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects;OK;Building;AL013;featureFunction;FFN;woodBasedManufac;160;;;;;
430;craft_Polygon;craft;carpet_layer  ;Workplace or office of carpet layers that bring carpet on your floor;Generalization;Building;AL013;;;;;;;;;
431;craft_Polygon;craft;caterer;Workplace or office of one who prepares customized meals for takeout, or provides prepared meals or supplies to a group at social gatherings;Generalization;Building;AL013;;;;;;;;;
432;craft_Polygon;craft;chimney_sweeper  ;Area  Workplace or office of a person who cleans chimneys for a living ;Generalization;Building;AL013;;;;;;;;;
433;craft_Polygon;craft;clockmaker ;Workplace or office of a clockmaker that is building or repairing clocks but not watches;Generalization;Building;AL013;;;;;;;;;
434;craft_Polygon;craft;confectionery ;A place where the set of food items that are rich in sugar, any one or type of which is called a confection is produced;OK;Building;AL013;featureFunction;FFN;confectionManufac;114;;;;;
435;craft_Polygon;craft;distillery;Distillery;OK;Building;AL013;featureFunction;FFN;spiritDistillery;121;;;;;
436;craft_Polygon;craft;dressmaker ;A place where clothes are created, repaired or altered to fit personal needs;OK;Building;AL013;featureFunction;FFN;textileAppLeatherManufac;129;;;;;
437;craft_Polygon;craft;electrician ;Workplace or office of an electrician which is a tradesman specialized in electrical wiring of buildings, stationary machines and related equipment;Generalization;Building;AL013;;;;;;;;;
438;craft_Polygon;craft;floorer;Workplace or office of a floorer which is a tradesman specialized in laying floors;Generalization;Building;AL013;;;;;;;;;
439;craft_Polygon;craft;gardener;Workplace or office of a garden designer or a landscape gardener;Generalization;Building;AL013;;;;;;;;;
440;craft_Polygon;craft;glaziery  ;A place where residential, commercial, and artistic glass is selected, cut, installed, replaced, and removed ;OK;Building;AL013;featureFunction;FFN;glassProdManufac;231;;;;;
441;craft_Polygon;craft;handicraft  ;A place where useful and decorative devices are made completely by hand or using only simple tools;Generalization;Building;AL013;;;;;;;;;
442;craft_Polygon;craft;hvac;Workplace or office of an HVAC system designer (Heating, Ventilating, and Air Conditioning) ;Generalization;Building;AL013;;;;;;;;;
443;craft_Polygon;craft;insulation ;Workplace or office of a person who does thermal insulation in buildings;Generalization;Building;AL013;;;;;;;;;
444;craft_Polygon;craft;jeweller  ;A place where necklaces, rings, brooches, earrings and bracelets and other personal adornments are created or repaired;OK;Building;AL013;featureFunction;FFN;jewelleryManufac;321;;;;;
445;craft_Polygon;craft;key_cutter ;A place where keys can be duplicated from originals;Generalization;Building;AL013;;;;;;;;;
446;craft_Polygon;craft;locksmith ;A place where locks and keys are created or repaired;Generalization;Building;AL013;;;;;;;;;
447;craft_Polygon;craft;metal_construction  ;A place where handrails, gates, ramps and similar things from metal are made;OK;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
448;craft_Polygon;craft;optician;A place where lenses for the correction of a person's vision are designed, fitted and dispensed;Generalization;Building;AL013;;;;;;;;;
449;craft_Polygon;craft;painter;Workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings;Generalization;Building;AL013;;;;;;;;;
450;craft_Polygon;craft;parquet_layer ;Workplace or office of a parquet layer;Generalization;Building;AL013;;;;;;;;;
451;craft_Polygon;craft;photographer ;Workplace or office of a person who takes photographs using a camera;OK;Building;AL013;featureFunction;FFN;photography;752;;;;;
452;craft_Polygon;craft;photographic_laboratory;A place where photos taken on a film or digital images are transformed into a more permanent form, often on paper or plastic foil;OK;Building;AL013;featureFunction;FFN;photography;752;;;;;
453;craft_Polygon;craft;piano_tuner  ;A piano tuner or technician. A professional that tunes, regulates and makes the maintenance of pianos;Generalization;Building;AL013;;;;;;;;;
454;craft_Polygon;craft;plasterer ;Workplace or office of a tradesman who works with plaster, such as forming a layer of plaster on an interior wall or plaster decorative moldings on ceilings or walls;Generalization;Building;AL013;;;;;;;;;
455;craft_Polygon;craft;plumber;Workplace or office of a tradesman who specializes in installing and maintaining systems used for potable (drinking) water, sewage, and drainage.;Generalization;Building;AL013;;;;;;;;;
456;craft_Polygon;craft;pottery;A place where earthenware, stoneware and porcelain and other ceramic ware is made by potters;OK;Building;AL013;featureFunction;FFN;ceramicProdManufac;234;;;;;
457;craft_Polygon;craft;rigger;Workplace or office of a person who makes masts, yards, sails, and cordage for sailboats and sailing ships;Generalization;Building;AL013;;;;;;;;;
458;craft_Polygon;craft;roofer;Workplace or office of a tradesman who is specialized in roof construction;Generalization;Building;AL013;;;;;;;;;
459;craft_Polygon;craft;saddler;A place where saddles or accessories for cars and boats are produced or repaired;Generalization;Building;AL013;;;;;;;;;
460;craft_Polygon;craft;sailmaker ;Workplace or office of a person who makes and repairs sails for sailboats and sailing ships, typically working on shore in a sail loft. ;Generalization;Building;AL013;;;;;;;;;
461;craft_Polygon;craft;sawmill  ;A workplace where logs are cut into boards;OK;Building;AL013;featureFunction;FFN;sawmilling;161;;;;;
462;craft_Polygon;craft;scaffolder ;Workplace or office of a tradesman who builds temporary structure used to support people and material in the construction or repair of buildings and other large structures;Generalization;Building;AL013;;;;;;;;;
463;craft_Polygon;craft;sculptor  ;A place where Sculpture are made ;Generalization;Building;AL013;;;;;;;;;
464;craft_Polygon;craft;shoemaker ;A place where shoes, boots, sandals, clogs and moccasins are created, repaired or altered to fit personal needs;OK;Building;AL013;featureFunction;FFN;footwearManufac;155;;;;;
465;craft_Polygon;craft;stand_builder  ;Workplace of a company that builds stands/booths for fairs;Generalization;Building;AL013;;;;;;;;;
466;craft_Polygon;craft;stonemason;A place where rough pieces of rock are shaped into accurate geometrical shapes;OK;Building;AL013;featureFunction;FFN;stoneProdManufac;237;;;;;
467;craft_Polygon;craft;sun_protection ;A place where sun protection is made, repaired, or delivered for assembly, especially awnings and shutters;Generalization;Building;AL013;;;;;;;;;
468;craft_Polygon;craft;tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;OK;Building;AL013;featureFunction;FFN;textileAppLeatherManufac;129;;;;;
469;craft_Polygon;craft;tiler;Workplace or office of a person who lays tiles on floors, swimming pools and such;Generalization;Building;AL013;;;;;;;;;
470;craft_Polygon;craft;tinsmith  ;A tinsmith, or tinner or tinker or tinplate worker. Workplace or office of a person who makes and repairs things made of light-coloured metal, particularly tinware;Generalization;Building;AL013;featureFunction;FFN;metalProdManufac;250;;;;;
471;craft_Polygon;craft;turner;A turner or wood turner. ;Generalization;Building;AL013;;;;;;;;;
472;craft_Polygon;craft;upholsterer  ;A place where furniture, especially seats are provided with padding, springs, webbing, and fabric or leather covers;Generalization;Building;AL013;;;;;;;;;
473;craft_Polygon;craft;watchmaker ;A watchmaker is an artisan who makes and repairs watches. Today due to industrial production they mostly repair watches;Generalization;Building;AL013;;;;;;;;;
474;craft_Polygon;craft;window_construction ;Construct windows;Generalization;Building;AL013;;;;;;;;;
475;craft_Polygon;craft;winery;Produces wine ;OK;Building;AL013;featureFunction;FFN;winery;122;;;;;
476;emergency_Point;emergency;user-defined or "yes";;not in DGIF;;;;;;;;;;;
477;emergency_Point;emergency;ambulance_station;An ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies;OK;Building;AL013;featureFunction;FFN;rescueParamedical;846;;;;;
478;emergency_Point;emergency;defibrillator ;An Automated External Defibrillator (AED) is a first-aid device that automates the process of diagnosing life-threatening cardiac arrhythmia and performing defibrillation;not in DGIF;;;;;;;;;;;
